Name;DisplayName;SamAccountName;GivenName;SurName;Department;Title;City;Country;Company;HomePage;Description
Franz Beckenbauer2;Franz Beckenbauer2;Beckenbauer2F;Franz;Beckenbauer2;Trainer;Bundestrainer;München;DE;DFB;http://www.dfb.de;Weltmeister 1990
Holger Osieck;Holger Osieck;OsieckH;Holger;Osieck;Trainer;Trainerassistent;Duisburg;DE;DFB;http://www.dfb.de;Weltmeister 1990
Berti Vogts2;Berti Vogts2;Vogts2B;Berti;Vogts2;Trainer;Trainerassistent;Kaarst;DE;DFB;http://www.dfb.de;Weltmeister 1990
Sepp Maier2;Sepp Maier2;Maier2S;Sepp;Maier2;Trainer;Torwarttrainer;Metten;DE;DFB;http://www.dfb.de;Weltmeister 1990
Bodo Illgner;Bodo Illgner;IllgnerB;Bodo;Illgner;Tor;Feldspieler;Köln;DE;DFB;http://www.dfb.de;Weltmeister 1990
Andreas Köpke;Andreas Köpke;KoepkeA;Andreas;Köpke;Tor;Ersatzspieler;Nürnberg;DE;DFB;http://www.dfb.de;Weltmeister 1990
Raimund Aumann;Raimund Aumann;AumannR;Raimund;Aumann;Tor;Ersatzspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 1990
Klaus Augenthaler;Klaus Augenthaler;AugenthalerK;Klaus;Augenthaler;Abwehr;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 1990
Thomas Berthold;Thomas Berthold;BertholdT;Thomas;Berthold;Abwehr;Feldspieler;Rom;DE;DFB;http://www.dfb.de;Weltmeister 1990
Andreas Brehme;Andreas Brehme;BrehmeA;Andreas;Brehme;Abwehr;Feldspieler;Mailand;DE;DFB;http://www.dfb.de;Weltmeister 1990
Guido Buchwald;Guido Buchwald;BuchwaldG;Guido;Buchwald;Abwehr;Feldspieler;Stuttgart;DE;DFB;http://www.dfb.de;Weltmeister 1990
Jürgen Kohler;Jürgen Kohler;KohlerJ;Jürgen;Kohler;Abwehr;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 1990
Hans Pfügler;Hans Pfügler;PfueglerH;Hans;Pfügler;Abwehr;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 1990
Stefan Reuter;Stefan Reuter;ReuterS;Stefan;Reuter;Abwehr;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 1990
Paul Steiner;Paul Steiner;SteinerP;Paul;Steiner;Abwehr;Ersatzspieler;Köln;DE;DFB;http://www.dfb.de;Weltmeister 1990
Uwe Bein;Uwe Bein;BeinU;Uwe;Bein;Mittelfeld;Feldspieler;Frankfurt;DE;DFB;http://www.dfb.de;Weltmeister 1990
Günter Hermann;Günter Hermann;HermannG;Günter;Hermann;Mittelfeld;Ersatzspieler;Bremen;DE;DFB;http://www.dfb.de;Weltmeister 1990
Thomas Häßler;Thomas Häßler;HaesslerT;Thomas;Häßler;Mittelfeld;Feldspieler;Köln;DE;DFB;http://www.dfb.de;Weltmeister 1990
Pierre Litbarski;Pierre Litbarski;LitbarskiP;Pierre;Litbarski;Mittelfeld;Feldspieler;Köln;DE;DFB;http://www.dfb.de;Weltmeister 1990
Lothar Matthäus;Lothar Matthäus;MatthaeusL;Lothar;Matthäus;Mittelfeld;Kapitän;Mailand;DE;DFB;http://www.dfb.de;Weltmeister 1990
Andreas Möller;Andreas Möller;MoellerA;Andreas;Möller;Mittelfeld;Feldspieler;Dortmund;DE;DFB;http://www.dfb.de;Weltmeister 1990
Olaf Thon;Olaf Thon;ThonO;Olaf;Thon;Mittelfeld;Ersatzspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 1990
Jürgen Klinsmann;Jürgen Klinsmann;KlinsmannJ;Jürgen;Klinsmann;Angriff;Feldspieler;Mailand;DE;DFB;http://www.dfb.de;Weltmeister 1990
Frank Mill;Frank Mill;MillF;Frank;Mill;Angriff;Ersatzspieler;Dortmund;DE;DFB;http://www.dfb.de;Weltmeister 1990
Karl-Heinz Riedle;Karl-Heinz Riedle;RiedleK;Karl-Heinz;Riedle;Angriff;Feldspieler;Bremen;DE;DFB;http://www.dfb.de;Weltmeister 1990
Rudi Völler;Rudi Völler;VoellerR;Rudi;Völler;Angriff;Feldspieler;Rom;DE;DFB;http://www.dfb.de;Weltmeister 1990
